code,,cygnus
-140156.2113,,165521.95
-134657.3245,,121165.71
-128618.2855,,72624.69
-121064.6476,,17987.12
-105322.761,,-41053.61
-111890.1505,,-99327.53
-117991.4168,,-149660.31
-116825.8627,,-185023.88
-82364.6137,,-200488.4
-28671.20846,,-194294.75
26613.68568,,-167837.51
78373.4415,,-124839.22
116043.5517,,-70268.99
123922.6757,,-9509.66
118134.7362,,52015.68
110976.3665,,108891.36
103147.9809,,155760.97
94884.49632,,187668.86
77414.50696,,200743.95
33247.59403,,193012.69
-18412.51772,,164989.56
-67906.70072,,119758.85
-104284.9695,,62482.5
-118998.1394,,-485.63
-127729.446,,-62563.44
-134545.2976,,-117703.57
-137081.5947,,-160843.46
-125998.4375,,-188116.04
-90479.05689,,-196989.36
-44544.74682,,-186463.28
6245.658546,,-157317.73
56396.08877,,-112276.09
93502.08563,,-55906.67
99539.64943,,5836.61
96722.79319,,66383.07
95880.80297,,119437.32
96611.34739,,159764.09
99310.72286,,183699.81
92680.97194,,189354.95
54227.07548,,176587.37
2196.729445,,146870.48
-50281.67966,,103137.52
-97919.05855,,49598.05
-130868.1674,,-8541.45
-138058.2765,,-65519.6
-135094.6587,,-115623.96
-128543.8095,,-153865.93
-119662.7014,,-176579.73
-103994.3968,,-181810.97
-62909.74473,,-169432.77
-8254.454524,,-141018.69
47658.61305,,-99561.54
85677.67867,,-49129.92
96584.30178,,5488.98
104206.5596,,59163.56
111765.6066,,106834.95
118770.1963,,143981.56
123834.0287,,167087.24
112336.7384,,174029.62
65673.1356,,164303.2
6116.733684,,139032.13
-54906.03207,,100788.3
-107157.2581,,53277.26
-124233.1862,,964.57
-119983.8066,,-51309.73
-113531.7074,,-98717.52
-106213.1204,,-136838.5
-98431.22642,,-162062.82
-90785.3652,,-171964.21
-59371.24006,,-165578.29
1865.476592,,-143520.02
64194.70181,,-107908.37
105285.5677,,-62118.39
119986.31,,-10421.88
129303.8582,,42412.78
136588.3364,,91515.63
139428.3044,,132295.71
136153.3715,,160819.05
107948.5992,,174185.94
50014.75513,,170873.4
-14158.26549,,150974.26
-74566.17946,,116257.55
-103528.4076,,70008.96
-102812.213,,16670.1
-99981.85634,,-38648.63
-98787.24501,,-90685.24
-98799.8961,,-134497.57
-100397.867,,-165860.96
-89867.24494,,-181604.83
-40146.23644,,-179909.37
22664.17714,,-160554.35
