LGL,RGL,LTA,RTA,LBF,RBF,LRF,RRF,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
-4426.43,-1751.92,-748.94,1282.07,-689.26,-1810.84,-97.54,-709.96,130.0,8.868,0.0,,
-4424.5,-1771.42,-745.33,1282.99,-689.46,-1811.0,-95.66,-710.11,,,,,
-4423.54,-1810.57,-744.3,1287.09,-689.13,-1811.26,-94.37,-709.88,,,,,
-4424.3,-1856.4,-746.09,1291.62,-688.37,-1811.63,-93.29,-709.19,,,,,
-4426.33,-1892.26,-750.12,1293.9,-687.5,-1812.1,-91.89,-708.13,,,,,
-4428.21,-1904.75,-755.36,1292.9,-686.87,-1812.68,-89.7,-706.91,,,,,
-4428.28,-1889.58,-760.74,1289.77,-686.63,-1813.33,-86.59,-705.73,,,,,
-4425.53,-1853.6,-765.43,1287.05,-686.67,-1813.98,-82.82,-704.7,,,,,
-4420.15,-1811.96,-768.86,1287.09,-686.71,-1814.58,-78.99,-703.72,,,,,
-4413.62,-1781.54,-770.72,1290.57,-686.54,-1815.04,-75.8,-702.53,,,,,
-4408.18,-1773.8,-770.88,1296.1,-686.16,-1815.36,-73.76,-700.89,,,,,
-4405.91,-1790.12,-769.5,1300.95,-685.82,-1815.58,-73.04,-698.76,,,,,
-4407.89,-1821.82,-767.07,1302.66,-685.78,-1815.76,-73.42,-696.44,,,,,
-4413.73,-1854.55,-764.41,1300.43,-686.07,-1815.97,-74.34,-694.58,,,,,
-4421.69,-1874.78,-762.41,1295.51,-686.28,-1816.24,-75.19,-693.94,,,,,
-4429.29,-1875.46,-761.69,1290.5,-685.59,-1816.49,-75.51,-695.09,,,,,
-4434.26,-1858.23,-762.24,1287.95,-683.13,-1816.62,-75.12,-698.16,,,,,
-4435.34,-1831.63,-763.39,1289.08,-678.47,-1816.5,-74.17,-702.67,,,,,
-4432.7,-1806.58,-764.08,1293.37,-671.92,-1816.09,-73.02,-707.71,,,,,
-4427.83,-1791.37,-763.46,1299.14,-664.6,-1815.49,-72.06,-712.26,,,,,
-4422.77,-1788.69,-761.39,1304.65,-658.03,-1814.91,-71.57,-715.52,,,,,
-4419.13,-1795.56,-758.59,1309.03,-653.58,-1814.61,-71.57,-717.2,,,,,
-4417.28,-1805.86,-756.3,1312.33,-651.86,-1814.79,-71.86,-717.54,,,,,
-4415.99,-1813.75,-755.62,1314.95,-652.51,-1815.51,-72.12,-717.14,,,,,
-4413.09,-1816.32,-756.81,1316.67,-654.41,-1816.63,-72.07,-716.61,,,,,
-4406.71,-1814.32,-759.1,1316.24,-656.19,-1817.87,-71.57,-716.31,,,,,
-4396.84,-1810.89,-760.97,1311.89,-656.87,-1818.91,-70.65,-716.24,,,,,
-4386.23,-1809.4,-760.99,1302.49,-656.23,-1819.51,-69.54,-716.09,,,,,
-4380.02,-1811.51,-758.62,1288.8,-654.79,-1819.58,-68.47,-715.49,,,,,
-4383.9,-1816.33,-754.57,1273.9,-653.46,-1819.16,-67.61,-714.2,,,,,
-4401.23,-1821.04,-750.51,1262.34,-653.02,-1818.42,-66.96,-712.29,,,,,
-4430.59,-1822.47,-748.22,1258.31,-653.73,-1817.54,-66.39,-710.05,,,,,
-4464.85,-1818.74,-748.58,1263.71,-655.24,-1816.63,-65.67,-707.85,,,,,
-4492.97,-1810.29,-751.09,1277.04,-656.88,-1815.79,-64.63,-705.99,,,,,
-4503.95,-1799.91,-754.06,1293.9,-658.03,-1815.06,-63.22,-704.53,,,,,
-4491.66,-1791.77,-755.44,1308.79,-658.5,-1814.53,-61.54,-703.34,,,,,
-4458.24,-1789.72,-753.96,1317.39,-658.56,-1814.33,-59.83,-702.21,,,,,
-4414.23,-1795.71,-749.73,1318.26,-658.77,-1814.58,-58.34,-700.99,,,,,
-4374.76,-1808.73,-744.26,1313.06,-659.63,-1815.33,-57.23,-699.68,,,,,
-4353.34,-1824.84,-739.7,1305.33,-661.29,-1816.5,-56.54,-698.41,,,,,
-4355.76,-1838.35,-737.74,1298.47,-663.43,-1817.84,-56.14,-697.36,,,,,
-4377.15,-1843.9,-738.85,1294.04,-665.46,-1819.03,-55.87,-696.65,,,,,
-4403.97,-1838.67,-742.09,1291.19,-666.82,-1819.78,-55.55,-696.28,,,,,
-4420.24,-1823.79,-745.71,1287.49,-667.26,-1819.93,-55.11,-696.09,,,,,
-4415.4,-1804.33,-748.06,1280.56,-666.97,-1819.54,-54.56,-695.96,,,,,
-4389.88,-1787.56,-748.46,1269.74,-666.41,-1818.85,-53.99,-695.81,,,,,
-4355.58,-1780.11,-747.39,1256.73,-666.11,-1818.13,-53.5,-695.72,,,,,
-4330.57,-1785.25,-746.16,1244.99,-666.36,-1817.6,-53.11,-695.89,,,,,
-4330.36,-1801.45,-746.05,1238.27,-667.1,-1817.31,-52.81,-696.53,,,,,
-4359.91,-1822.91,-747.67,1238.87,-668.01,-1817.18,-52.53,-697.71,,,,,
-4410.27,-1842.04,-750.6,1246.66,-668.7,-1817.05,-52.22,-699.33,,,,,
-4461.85,-1852.58,-753.7,1259.1,-668.95,-1816.77,-51.92,-701.08,,,,,
-4492.98,-1852.07,-755.72,1272.4,-668.85,-1816.35,-51.75,-702.54,,,,,
-4489.83,-1842.46,-755.95,1283.06,-668.7,-1815.89,-51.85,-703.35,,,,,
-4452.96,-1828.77,-754.53,1289.23,-668.83,-1815.57,-52.34,-703.35,,,,,
-4397.3,-1816.53,-752.27,1291.23,-669.4,-1815.51,-53.19,-702.59,,,,,
-4345.57,-1809.49,-750.2,1291.17,-670.27,-1815.71,-54.23,-701.36,,,,,
-4318.19,-1808.6,-749.08,1291.81,-671.03,-1816.09,-55.13,-700.03,,,,,
-4324.47,-1812.74,-749.11,1295.3,-671.23,-1816.45,-55.59,-698.94,,,,,
-4359.22,-1820.25,-750.0,1302.19,-670.58,-1816.65,-55.41,-698.32,,,,,
-4406.02,-1830.36,-751.24,1311.12,-669.13,-1816.62,-54.61,-698.17,,,,,
-4445.36,-1843.29,-752.45,1319.32,-667.23,-1816.41,-53.44,-698.38,,,,,
-4463.52,-1859.05,-753.47,1323.62,-665.42,-1816.09,-52.3,-698.71,,,,,
-4457.95,-1875.83,-754.37,1321.7,-664.17,-1815.76,-51.62,-698.91,,,,,
-4436.85,-1889.23,-755.25,1313.01,-663.69,-1815.43,-51.63,-698.75,,,,,
-4413.84,-1893.37,-756.1,1299.19,-663.97,-1815.09,-52.32,-698.06,,,,,
-4400.57,-1883.56,-756.79,1283.59,-664.8,-1814.67,-53.41,-696.71,,,,,
-4401.46,-1859.38,-757.22,1270.29,-665.92,-1814.18,-54.44,-694.67,,,,,
-4412.64,-1826.28,-757.39,1262.78,-667.19,-1813.65,-55.02,-691.98,,,,,
-4425.42,-1794.51,-757.52,1262.75,-668.49,-1813.17,-54.9,-688.86,,,,,
-4431.81,-1775.28,-757.9,1269.65,-669.69,-1812.82,-54.13,-685.67,,,,,
-4428.94,-1775.88,-758.71,1280.88,-670.46,-1812.62,-52.98,-682.95,,,,,
-4420.11,-1795.93,-759.84,1292.82,-670.3,-1812.53,-51.84,-681.24,,,,,
-4412.1,-1826.79,-760.87,1302.04,-668.63,-1812.48,-51.04,-680.98,,,,,
-4410.73,-1854.74,-761.26,1306.33,-665.12,-1812.39,-50.71,-682.26,,,,,
-4417.15,-1866.59,-760.53,1305.28,-659.93,-1812.27,-50.78,-684.78,,,,,
-4427.24,-1855.34,-758.58,1300.02,-653.87,-1812.18,-50.98,-687.8,,,,,
-4434.16,-1823.23,-755.68,1292.61,-648.16,-1812.2,-51.0,-690.38,,,,,
-4432.59,-1780.93,-752.45,1285.2,-644.1,-1812.38,-50.63,-691.64,,,,,
-4422.1,-1743.15,-749.58,1279.45,-642.54,-1812.69,-49.82,-691.03,,,,,
-4407.71,-1722.71,-747.63,1276.27,-643.55,-1813.02,-48.71,-688.61,,,,,
-4397.24,-1725.71,-746.87,1275.86,-646.38,-1813.21,-47.51,-684.96,,,,,
-4396.94,-1749.62,-747.21,1277.89,-649.79,-1813.15,-46.47,-681.07,,,,,
-4407.89,-1784.95,-748.31,1281.71,-652.54,-1812.85,-45.71,-677.97,,,,,
-4425.16,-1819.39,-749.63,1286.34,-653.83,-1812.4,-45.28,-676.4,,,,,
-4440.3,-1842.54,-750.57,1290.65,-653.5,-1811.99,-45.12,-676.57,,,,,
-4445.77,-1849.21,-750.63,1293.52,-651.87,-1811.79,-45.13,-678.19,,,,,
-4439.02,-1840.42,-749.53,1294.16,-649.35,-1811.94,-45.26,-680.56,,,,,
-4423.87,-1822.0,-747.36,1292.44,-646.15,-1812.48,-45.48,-682.9,,,,,
-4408.57,-1801.89,-744.62,1289.01,-642.17,-1813.39,-45.83,-684.55,,,,,
-4401.4,-1787.3,-742.16,1285.12,-637.2,-1814.63,-46.31,-685.2,,,,,
-4406.2,-1782.7,-740.89,1282.04,-631.27,-1816.1,-46.9,-684.84,,,,,
-4420.26,-1788.92,-741.48,1280.55,-625.04,-1817.69,-47.52,-683.71,,,,,
-4435.55,-1803.42,-743.98,1280.56,-619.67,-1819.28,-48.06,-682.11,,,,,
-4442.84,-1821.28,-747.77,1281.29,-616.53,-1820.69,-48.44,-680.31,,,,,
-4436.55,-1836.67,-751.74,1281.75,-616.49,-1821.74,-48.6,-678.5,,,,,
-4417.78,-1844.43,-754.71,1281.42,-619.46,-1822.32,-48.57,-676.78,,,,,
-4393.96,-1841.68,-755.91,1280.59,-624.26,-1822.4,-48.46,-675.27,,,,,
-4375.3,-1828.84,-755.31,1280.32,-629.0,-1822.11,-48.42,-674.09,,,,,
-4369.71,-1809.8,-753.56,1281.79,-631.86,-1821.65,-48.59,-673.34,,,,,
-4378.83,-1790.8,-751.65,1285.67,-631.86,-1821.25,-49.04,-673.09,,,,,
-4397.21,-1778.37,-750.42,1291.61,-629.31,-1821.06,-49.73,-673.33,,,,,
-4415.0,-1776.78,-750.17,1298.4,-625.61,-1821.14,-50.55,-673.92,,,,,
-4422.91,-1786.17,-750.6,1304.47,-622.64,-1821.4,-51.29,-674.64,,,,,
-4417.01,-1802.27,-751.09,1308.58,-621.85,-1821.75,-51.75,-675.26,,,,,
-4400.83,-1817.95,-751.1,1310.26,-623.7,-1822.11,-51.79,-675.6,,,,,
-4383.81,-1826.12,-750.47,1309.72,-627.45,-1822.53,-51.41,-675.59,,,,,
-4376.62,-1822.85,-749.52,1307.38,-631.62,-1823.09,-50.74,-675.21,,,,,
-4385.75,-1809.16,-748.78,1303.44,-634.67,-1823.88,-50.03,-674.55,,,,,
-4409.92,-1790.73,-748.6,1297.73,-635.64,-1824.92,-49.5,-673.69,,,,,
-4440.14,-1775.5,-748.93,1290.13,-634.49,-1826.09,-49.31,-672.73,,,,,
