Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2024-09-06 16:26:59.683
Device ID: STEEG_DG819201
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: non-EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,LGAST,RGAST,LTA,RTA,LBFL,RBFL,LRF,RRF,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,1275419,-2403.57,-2744.03,9822.07,5520.57,-2183.63,1535.92,1893.73,6918.18,,,,,
0.001,1275420,-2402.73,-2730.98,9822.49,5525.78,-2183.91,1536.16,1893.66,6918.08,,,,,
0.002,1275421,-2401.21,-2718.79,9822.45,5529.24,-2184.06,1536.89,1893.61,6918.06,,,,,
0.003,1275422,-2399.09,-2708.63,9821.64,5530.12,-2184.02,1537.89,1893.57,6918.18,,,,,
0.004,1275423,-2397.31,-2701.96,9820.04,5528.91,-2183.72,1538.16,1893.48,6918.42,,,,,
0.005,1275424,-2397.19,-2699.96,9817.93,5526.94,-2183.2,1536.47,1893.3,6918.69,,,,,
0.006,1275425,-2399.46,-2702.79,9815.83,5525.53,-2182.58,1532.36,1893.02,6918.93,,,,,
0.007,1275426,-2403.61,-2709.2,9814.29,5525.18,-2181.99,1526.74,1892.7,6919.06,,,,,
0.008,1275427,-2407.92,-2716.86,9813.71,5525.44,-2181.61,1521.71,1892.45,6919.08,,,,,
0.009,1275428,-2410.38,-2723.34,9814.18,5525.5,-2181.55,1519.48,1892.42,6919.0,,,,,
0.010,1275429,-2409.79,-2727.16,9815.47,5524.99,-2181.82,1521.03,1892.68,6918.88,,,,,
0.011,1275430,-2406.57,-2728.47,9817.1,5524.45,-2182.36,1525.42,1893.22,6918.76,,,,,
0.012,1275431,-2402.58,-2728.67,9818.57,5524.92,-2183.02,1530.1,1893.92,6918.64,,,,,
0.013,1275432,-2400.08,-2729.44,9819.56,5527.02,-2183.65,1532.35,1894.6,6918.52,,,,,
0.014,1275433,-2400.48,-2731.51,9820.04,5529.94,-2184.14,1530.92,1895.12,6918.39,,,,,
0.015,1275434,-2403.5,-2734.19,9820.24,5531.39,-2184.48,1526.89,1895.4,6918.24,,,,,
0.016,1275435,-2407.41,-2735.8,9820.49,5528.64,-2184.71,1523.19,1895.46,6918.09,,,,,
0.017,1275436,-2410.08,-2734.86,9821.01,5520.39,-2184.87,1522.84,1895.39,6917.97,,,,,
0.018,1275437,-2410.27,-2731.31,9821.75,5508.33,-2184.99,1526.9,1895.29,6917.88,,,,,
0.019,1275438,-2408.38,-2726.87,9822.45,5497.33,-2185.03,1533.54,1895.21,6917.85,,,,,
0.020,1275439,-2406.12,-2724.32,9822.75,5493.75,-2184.92,1538.67,1895.11,6917.86,,,,,
0.021,1275440,-2405.43,-2725.92,9822.38,5502.43,-2184.61,1538.21,1894.96,6917.9,,,,,
0.022,1275441,-2407.2,-2731.98,9821.33,5523.73,-2184.11,1530.66,1894.7,6917.98,,,,,
