Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2024-09-06 16:29:56.166
Device ID: STEEG_DG819201
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: non-EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,LGAST,RGAST,LTA,RTA,LBFL,RBFL,LRF,RRF,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,1451969,-2660.89,-3012.26,10132.4,5640.69,-3168.18,1578.84,1649.6,7353.55,,,,,
0.001,1451970,-2665.33,-3012.03,10132.2,5639.98,-3167.72,1577.31,1648.6,7350.11,,,,,
0.002,1451971,-2670.6,-3012.02,10132.07,5639.38,-3167.27,1576.05,1647.82,7344.95,,,,,
0.003,1451972,-2676.42,-3012.32,10132.09,5639.01,-3166.9,1575.33,1647.43,7338.1,,,,,
0.004,1451973,-2681.02,-3012.91,10132.29,5638.95,-3166.73,1575.34,1647.51,7331.88,,,,,
0.005,1451974,-2681.94,-3013.6,10132.68,5639.25,-3166.91,1576.11,1648.02,7329.79,,,,,
0.006,1451975,-2677.48,-3014.11,10133.26,5639.91,-3167.53,1577.48,1648.85,7334.3,,,,,
0.007,1451976,-2668.03,-3014.22,10134.01,5640.86,-3168.54,1579.1,1649.8,7345.1,,,,,
0.008,1451977,-2656.47,-3013.85,10134.85,5641.95,-3169.8,1580.5,1650.66,7358.74,,,,,
0.009,1451978,-2647.13,-3013.12,10135.69,5642.96,-3171.03,1581.26,1651.29,7370.23,,,,,
0.010,1451979,-2643.89,-3012.34,10136.41,5643.68,-3171.99,1581.19,1651.62,7375.56,,,,,
0.011,1451980,-2648.19,-3011.83,10136.86,5643.91,-3172.5,1580.41,1651.71,7373.78,,,,,
0.012,1451981,-2658.12,-3011.81,10136.92,5643.56,-3172.56,1579.26,1651.64,7367.41,,,,,
0.013,1451982,-2669.13,-3012.27,10136.52,5642.66,-3172.27,1578.18,1651.53,7360.85,,,,,
0.014,1451983,-2676.07,-3013.0,10135.67,5641.38,-3171.8,1577.5,1651.44,7357.82,,,,,
0.015,1451984,-2675.56,-3013.7,10134.42,5639.95,-3171.29,1577.32,1651.35,7359.2,,,,,
0.016,1451985,-2667.66,-3014.15,10132.89,5638.59,-3170.83,1577.5,1651.23,7362.69,,,,,
0.017,1451986,-2655.85,-3014.35,10131.25,5637.48,-3170.43,1577.75,1651.01,7364.26,,,,,
0.018,1451987,-2645.32,-3014.43,10129.66,5636.66,-3170.05,1577.82,1650.69,7360.75,,,,,
0.019,1451988,-2640.57,-3014.57,10128.31,5636.14,-3169.68,1577.55,1650.32,7351.86,,,,,
0.020,1451989,-2643.24,-3014.81,10127.37,5635.87,-3169.37,1576.98,1650.04,7340.49,,,,,
0.021,1451990,-2651.46,-3014.96,10126.98,5635.87,-3169.18,1576.25,1649.96,7331.21,,,,,
0.022,1451991,-2660.93,-3014.67,10127.16,5636.16,-3169.18,1575.53,1650.15,7327.78,,,,,
0.023,1451992,-2667.11,-3013.71,10127.83,5636.82,-3169.4,1574.98,1650.61,7331.17,,,,,
0.024,1451993,-2667.46,-3012.18,10128.77,5637.84,-3169.79,1574.71,1651.22,7339.15,,,,,
0.025,1451994,-2662.66,-3010.63,10129.71,5639.12,-3170.24,1574.79,1651.85,7347.7,,,,,
0.026,1451995,-2656.04,-3009.86,10130.45,5640.38,-3170.61,1575.25,1652.38,7353.27,,,,,
0.027,1451996,-2651.78,-3010.58,10130.9,5641.31,-3170.82,1576.06,1652.73,7354.52,,,,,
0.028,1451997,-2652.62,-3012.97,10131.18,5641.62,-3170.8,1577.03,1652.9,7352.75,,,,,
0.029,1451998,-2658.47,-3016.47,10131.49,5641.16,-3170.55,1577.86,1652.94,7350.6,,,,,
0.030,1451999,-2666.38,-3019.91,10132.02,5640.04,-3170.1,1578.16,1652.89,7350.19,,,,,
0.031,1452000,-2672.11,-3021.98,10132.75,5638.54,-3169.51,1577.64,1652.77,7351.64,,,,,
0.032,1452001,-2672.34,-3021.78,10133.42,5637.02,-3168.82,1576.29,1652.58,7353.08,,,,,
0.033,1452002,-2666.38,-3019.29,10133.56,5635.81,-3168.09,1574.43,1652.32,7351.89,,,,,
0.034,1452003,-2656.62,-3015.38,10132.76,5635.08,-3167.43,1572.69,1652.01,7346.62,,,,,
0.035,1452004,-2647.31,-3011.45,10130.85,5634.81,-3166.93,1571.76,1651.73,7338.29,,,,,
0.036,1452005,-2642.52,-3008.79,10128.12,5634.85,-3166.71,1572.06,1651.58,7330.25,,,,,
0.037,1452006,-2644.17,-3008.1,10125.25,5635.05,-3166.85,1573.56,1651.66,7326.75,,,,,
0.038,1452007,-2651.11,-3009.2,10123.09,5635.32,-3167.36,1575.75,1651.98,7330.86,,,,,
0.039,1452008,-2659.86,-3011.25,10122.31,5635.67,-3168.15,1577.86,1652.52,7342.84,,,,,
0.040,1452009,-2666.42,-3013.22,10123.1,5636.19,-3169.07,1579.14,1653.13,7359.8,,,,,
