Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2024-10-09 16:45:42.964
Device ID: STEEG_DG819202
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: non-EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,LGL,RGL,LTA,RTA,LBF,RBF,LRF,RRF,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,169384,-1132.21,-3219.19,3153.12,4465.57,-1846.84,-3023.3,-384.94,-2859.19,,,,,
0.001,169385,-1122.29,-3207.52,3153.53,4491.17,-1848.87,-3014.17,-388.89,-2858.41,,,,,
0.002,169386,-1115.44,-3201.29,3153.98,4509.43,-1850.29,-3007.41,-392.05,-2856.92,,,,,
0.003,169387,-1112.37,-3204.86,3154.53,4515.85,-1850.71,-3004.52,-394.23,-2854.35,,,,,
0.004,169388,-1110.75,-3220.34,3155.21,4510.43,-1850.1,-3005.57,-396.0,-2850.87,,,,,
0.005,169389,-1106.79,-3246.3,3156.03,4497.31,-1848.78,-3009.31,-398.13,-2847.1,,,,,
0.006,169390,-1098.12,-3277.29,3156.86,4482.79,-1847.25,-3013.69,-400.64,-2843.77,,,,,
0.007,169391,-1086.17,-3304.84,3157.5,4472.56,-1846.04,-3016.78,-402.15,-2841.46,,,,,
0.008,169392,-1076.28,-3320.18,3157.72,4469.47,-1845.43,-3017.48,-400.06,-2840.39,,,,,
0.009,169393,-1075.25,-3317.79,3157.4,4472.67,-1845.42,-3015.96,-391.64,-2840.51,,,,,
0.010,169394,-1087.45,-3298.34,3156.59,4478.47,-1845.74,-3013.4,-375.61,-2841.67,,,,,
0.011,169395,-1111.78,-3269.22,3155.58,4482.28,-1846.02,-3011.4,-353.52,-2843.88,,,,,
0.012,169396,-1141.39,-3242.02,3154.73,4480.73,-1845.97,-3011.21,-329.9,-2847.27,,,,,
0.013,169397,-1166.43,-3227.86,3154.35,4473.04,-1845.53,-3013.16,-311.01,-2851.93,,,,,
0.014,169398,-1178.69,-3232.47,3154.5,4461.14,-1844.84,-3016.6,-302.67,-2857.56,,,,,
0.015,169399,-1175.54,-3253.52,3154.99,4448.73,-1844.17,-3020.17,-307.85,-2863.26,,,,,
0.016,169400,-1160.98,-3281.57,3155.46,4439.64,-1843.78,-3022.52,-325.32,-2867.63,,,,,
0.017,169401,-1143.3,-3304.26,3155.6,4436.49,-1843.77,-3022.83,-349.97,-2869.27,,,,,
0.018,169402,-1130.56,-3311.95,3155.32,4439.85,-1844.1,-3021.16,-374.62,-2867.42,,,,,
0.019,169403,-1126.47,-3301.81,3154.78,4448.33,-1844.67,-3018.34,-392.67,-2862.5,,,,,
0.020,169404,-1128.95,-3278.79,3154.31,4459.24,-1845.39,-3015.46,-400.39,-2856.15,,,,,
0.021,169405,-1132.08,-3252.83,3154.19,4469.66,-1846.24,-3013.42,-397.93,-2850.68,,,,,
0.022,169406,-1130.15,-3234.04,3154.47,4477.35,-1847.29,-3012.59,-388.74,-2848.11,,,,,
0.023,169407,-1121.47,-3228.25,3154.92,4481.42,-1848.51,-3012.76,-377.77,-2849.25,,,,,
0.024,169408,-1109.55,-3234.92,3155.15,4482.46,-1849.74,-3013.42,-369.33,-2853.27,,,,,
0.025,169409,-1100.96,-3248.41,3154.85,4482.2,-1850.69,-3014.11,-365.58,-2858.04,,,,,
