Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2024-09-06 16:32:52.312
Device ID: STEEG_DG819201
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: non-EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,LGAST,RGAST,LTA,RTA,LBFL,RBFL,LRF,RRF,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,1628069,-2074.33,-2908.01,9999.37,5664.11,-2669.87,1657.52,1983.31,6161.71,,,,,
0.001,1628070,-2074.49,-2901.25,9996.58,5661.53,-2669.22,1658.03,1983.2,6161.61,,,,,
0.002,1628071,-2075.48,-2894.47,9994.01,5659.53,-2668.6,1658.37,1983.02,6161.64,,,,,
0.003,1628072,-2077.75,-2888.28,9991.88,5658.46,-2668.0,1658.45,1982.72,6161.9,,,,,
0.004,1628073,-2081.06,-2883.88,9990.36,5658.36,-2667.42,1658.24,1982.32,6162.35,,,,,
0.005,1628074,-2084.65,-2882.31,9989.53,5658.97,-2666.83,1657.81,1981.86,6162.91,,,,,
0.006,1628075,-2087.51,-2883.45,9989.38,5659.87,-2666.21,1657.3,1981.44,6163.43,,,,,
0.007,1628076,-2088.88,-2885.66,9989.76,5660.71,-2665.53,1656.88,1981.13,6163.79,,,,,
0.008,1628077,-2088.61,-2886.66,9990.46,5661.28,-2664.83,1656.64,1981.01,6163.93,,,,,
0.009,1628078,-2087.22,-2885.19,9991.25,5661.61,-2664.2,1656.64,1981.1,6163.89,,,,,
0.010,1628079,-2085.67,-2882.45,9991.99,5661.84,-2663.74,1656.81,1981.41,6163.75,,,,,
0.011,1628080,-2084.89,-2882.22,9992.65,5662.14,-2663.57,1657.04,1981.88,6163.62,,,,,
0.012,1628081,-2085.35,-2889.09,9993.28,5662.59,-2663.75,1657.22,1982.44,6163.59,,,,,
0.013,1628082,-2086.87,-2905.49,9993.97,5663.19,-2664.22,1657.25,1983.02,6163.66,,,,,
0.014,1628083,-2088.8,-2929.29,9994.76,5663.89,-2664.84,1657.13,1983.53,6163.82,,,,,
0.015,1628084,-2090.45,-2953.42,9995.56,5664.65,-2665.39,1656.91,1983.87,6163.98,,,,,
0.016,1628085,-2091.54,-2968.37,9996.2,5665.46,-2665.64,1656.66,1984.01,6164.11,,,,,
0.017,1628086,-2092.34,-2966.54,9996.51,5666.3,-2665.48,1656.46,1983.94,6164.16,,,,,
0.018,1628087,-2093.51,-2946.36,9996.38,5667.08,-2664.9,1656.34,1983.67,6164.12,,,,,
0.019,1628088,-2095.54,-2913.81,9995.83,5667.61,-2664.06,1656.24,1983.28,6164.03,,,,,
0.020,1628089,-2098.37,-2880.31,9995.04,5667.63,-2663.15,1656.11,1982.87,6163.91,,,,,
0.021,1628090,-2101.19,-2857.76,9994.2,5666.95,-2662.36,1655.89,1982.51,6163.78,,,,,
0.022,1628091,-2102.82,-2853.02,9993.48,5665.52,-2661.79,1655.59,1982.27,6163.67,,,,,
0.023,1628092,-2102.39,-2864.8,9992.94,5663.59,-2661.43,1655.27,1982.16,6163.61,,,,,
0.024,1628093,-2099.96,-2884.51,9992.55,5661.61,-2661.21,1655.03,1982.16,6163.62,,,,,
0.025,1628094,-2096.64,-2900.74,9992.24,5660.12,-2661.04,1654.96,1982.22,6163.71,,,,,
0.026,1628095,-2094.13,-2905.06,9992.02,5659.54,-2660.93,1655.13,1982.31,6163.88,,,,,
0.027,1628096,-2093.81,-2896.13,9992.01,5659.98,-2660.92,1655.51,1982.42,6164.1,,,,,
0.028,1628097,-2095.89,-2879.99,9992.36,5661.23,-2661.12,1656.0,1982.52,6164.32,,,,,
0.029,1628098,-2099.17,-2866.43,9993.21,5662.81,-2661.58,1656.5,1982.62,6164.47,,,,,
0.030,1628099,-2101.47,-2863.52,9994.54,5664.23,-2662.27,1656.89,1982.69,6164.53,,,,,
0.031,1628100,-2100.78,-2873.26,9996.1,5665.12,-2663.06,1657.12,1982.68,6164.48,,,,,
0.032,1628101,-2096.31,-2890.6,9997.49,5665.38,-2663.78,1657.16,1982.54,6164.36,,,,,
0.033,1628102,-2089.03,-2906.36,9998.31,5665.17,-2664.28,1657.03,1982.25,6164.23,,,,,
0.034,1628103,-2081.22,-2912.31,9998.31,5664.76,-2664.47,1656.77,1981.79,6164.14,,,,,
0.035,1628104,-2075.42,-2905.66,9997.52,5664.35,-2664.42,1656.43,1981.24,6164.15,,,,,
0.036,1628105,-2073.12,-2890.47,9996.25,5664.02,-2664.25,1656.03,1980.68,6164.25,,,,,
0.037,1628106,-2074.17,-2875.44,9994.94,5663.62,-2664.12,1655.6,1980.2,6164.44,,,,,
0.038,1628107,-2076.95,-2869.24,9993.99,5662.96,-2664.12,1655.15,1979.89,6164.69,,,,,
0.039,1628108,-2079.44,-2876.03,9993.58,5661.91,-2664.29,1654.73,1979.76,6164.99,,,,,
0.040,1628109,-2080.33,-2893.46,9993.64,5660.52,-2664.59,1654.36,1979.78,6165.32,,,,,
0.041,1628110,-2079.72,-2914.17,9993.91,5659.05,-2664.96,1654.07,1979.89,6165.66,,,,,
0.042,1628111,-2078.88,-2929.66,9994.15,5657.91,-2665.37,1653.9,1980.05,6165.99,,,,,
0.043,1628112,-2079.28,-2934.52,9994.24,5657.51,-2665.82,1653.88,1980.24,6166.25,,,,,
0.044,1628113,-2081.51,-2928.7,9994.25,5658.13,-2666.38,1654.02,1980.47,6166.37,,,,,
0.045,1628114,-2084.85,-2916.86,9994.39,5659.8,-2667.08,1654.33,1980.77,6166.3,,,,,
0.046,1628115,-2087.59,-2905.35,9994.85,5662.28,-2667.93,1654.78,1981.13,6166.05,,,,,
0.047,1628116,-2088.1,-2898.77,9995.69,5665.16,-2668.87,1655.34,1981.51,6165.71,,,,,
0.048,1628117,-2085.93,-2897.9,9996.78,5667.9,-2669.82,1655.91,1981.83,6165.39,,,,,
0.049,1628118,-2082.22,-2900.01,9997.82,5669.98,-2670.68,1656.38,1982.01,6165.21,,,,,
0.050,1628119,-2079.16,-2901.11,9998.54,5671.0,-2671.36,1656.67,1982.01,6165.22,,,,,
0.051,1628120,-2078.75,-2898.68,9998.77,5670.79,-2671.8,1656.73,1981.82,6165.4,,,,,
0.052,1628121,-2081.65,-2893.24,9998.51,5669.4,-2671.99,1656.57,1981.52,6165.62,,,,,
0.053,1628122,-2086.73,-2887.98,9997.91,5667.12,-2671.93,1656.25,1981.19,6165.76,,,,,
0.054,1628123,-2091.65,-2886.67,9997.16,5664.43,-2671.63,1655.9,1980.91,6165.7,,,,,
0.055,1628124,-2094.17,-2891.29,9996.4,5661.9,-2671.16,1655.6,1980.7,6165.46,,,,,
0.056,1628125,-2093.4,-2900.71,9995.67,5660.03,-2670.64,1655.42,1980.57,6165.14,,,,,
0.057,1628126,-2090.28,-2911.09,9994.94,5659.15,-2670.23,1655.35,1980.48,6164.9,,,,,
0.058,1628127,-2086.99,-2917.8,9994.23,5659.34,-2670.1,1655.38,1980.4,6164.84,,,,,
0.059,1628128,-2085.65,-2917.79,9993.63,5660.41,-2670.38,1655.47,1980.32,6165.02,,,,,
0.060,1628129,-2087.13,-2911.02,9993.3,5662.0,-2671.1,1655.65,1980.29,6165.36,,,,,
0.061,1628130,-2090.55,-2900.4,9993.43,5663.66,-2672.16,1655.92,1980.31,6165.7,,,,,
0.062,1628131,-2093.88,-2890.28,9994.09,5665.03,-2673.37,1656.32,1980.4,6165.9,,,,,
0.063,1628132,-2095.2,-2884.36,9995.21,5665.9,-2674.5,1656.83,1980.51,6165.88,,,,,
0.064,1628133,-2093.81,-2884.19,9996.52,5666.26,-2675.36,1657.36,1980.55,6165.66,,,,,
0.065,1628134,-2090.66,-2888.81,9997.72,5666.23,-2675.88,1657.77,1980.42,6165.34,,,,,
